time spent,game level
39,944
55,705
29,757
59,999
7,109
35,749
11,520
30,410
50,225
23,470
18,992
74,705
29,209
42,557
68,946
35,192
89,795
28,198
14,891
28,594
68,617
96,906
74,158
73,671
20,63
2,872
37,681
26,22
45,354
48,580
57,642
24,755
53,377
23,133
93,766
5,730
29,436
51,215
5,145
2,840
45,319
91,789
1,880
84,655
93,887
50,705
18,746
37,466
57,786
92,279
51,398
78,232
94,195
10,277
94,496
21,831
2,113
40,653
95,864
84,490
88,218
49,737
75,552
38,547
19,512
49,770
44,474
91,13
39,455
23,601
9,900
68,470
9,266
51,284
81,859
78,176
41,885
45,807
25,102
32,563
11,116
70,636
34,406
10,852
61,163
82,577
11,777
28,439
29,157
71,151
47,772
93,664
47,377
9,654
70,968
47,939
50,485
13,916
79,235
48,338
